,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
0,1,DeepSeek概念,BK1188,1095.02,95.02,9.5,1021768496000,17.6,24,2,美格智能,10.01
1,2,人形机器人,BK1184,1306.24,88.81,7.29,1192327168000,7.64,73,0,日发精机,9.93
2,3,激光雷达,BK1002,1459.02,89.65,6.55,447872240000,3.92,33,1,领益智造,10.02
3,4,电子后视镜,BK1125,1514.66,90.31,6.34,356960208000,3.84,23,0,通达电气,9.96
4,5,机器人执行器,BK1145,1527.6,89.92,6.25,540176720000,7.35,26,0,日发精机,9.93
5,6,EDR概念,BK1049,1504.42,86.45,6.1,307929776000,8.7,14,0,瑞芯微,10.0
6,7,昨日连板_含一字,BK1051,2317.25,133.09,6.09,122554612000,9.25,12,3,航锦科技,10.02
7,8,减速器,BK1100,1412.09,76.7,5.74,616985040000,8.26,59,2,日发精机,9.93
8,9,PLC概念,BK1119,1332.49,72.02,5.71,362554592000,3.94,9,0,中控技术,10.51
9,10,AI眼镜,BK1178,1678.16,90.53,5.7,1245058000000,5.17,75,0,美格智能,10.01
10,11,昨日涨停_含一字,BK1050,125934.91,6554.55,5.49,892034144000,13.19,73,10,航锦科技,10.02
11,12,AI手机,BK1162,1416.25,70.48,5.24,876063840000,5.24,33,1,每日互动,19.99
12,13,星闪概念,BK1149,1401.49,69.46,5.21,530717472000,5.66,34,1,雷柏科技,9.99
13,14,麒麟电池,BK1092,1149.8,56.98,5.21,1210890784000,3.43,9,0,银轮股份,10.02
14,15,屏下摄像,BK0947,1011.68,49.85,5.18,589771328000,2.09,10,0,联创电子,9.97
15,16,高带宽内存,BK1152,953.33,44.23,4.87,141902208000,5.36,13,0,香农芯创,11.44
16,17,传感器,BK0905,1550.61,71.41,4.83,1445016096000,4.37,94,2,亿通科技,19.98
17,18,荣耀概念,BK1177,1540.18,70.78,4.82,1032667040000,2.44,50,1,崇达技术,9.98
18,19,胎压监测,BK0898,2031.5,93.21,4.81,306024832000,4.08,28,0,通达电气,9.96
19,20,MLOps概念,BK1132,1052.93,48.15,4.79,200661590000,5.93,10,0,安恒信息,19.99
20,21,无人驾驶,BK0802,1660.23,75.73,4.78,5594498560000,3.36,232,11,美格智能,10.01
21,22,混合现实,BK1141,1340.16,60.93,4.76,1051161616000,2.9,29,1,日久光电,10.03
22,23,存储芯片,BK1137,1295.01,57.3,4.63,1014980336000,5.33,54,0,航锦科技,10.02
23,24,AIPC,BK1164,1492.02,65.09,4.56,950878448000,5.1,41,0,雷柏科技,9.99
24,25,机器人概念,BK1090,1546.82,67.33,4.55,6495230464000,4.89,447,15,美格智能,10.01
25,26,AI芯片,BK1127,1291.03,56.12,4.54,1222435136000,4.75,24,2,航锦科技,10.02
26,27,汽车芯片,BK0969,1112.08,48.33,4.54,1213802864000,3.97,55,1,炬芯科技,11.64
27,28,智能穿戴,BK0641,3027.57,131.46,4.54,2851023360000,4.17,112,4,雷柏科技,9.99
28,29,英伟达概念,BK1161,1316.48,57.09,4.53,1294333552000,4.07,47,1,青云科技-U,20.01
29,30,毫米波概念,BK1124,1393.07,60.3,4.52,474476464000,3.86,39,1,豪恩汽电,20.0
30,31,车联网(车路云),BK0920,1351.9,58.47,4.52,5479653632000,3.57,212,7,美格智能,10.01
31,32,3D摄像头,BK0901,1498.36,64.44,4.49,596681920000,3.15,11,0,联创电子,9.97
32,33,昨日涨停,BK0815,515.61,21.99,4.45,669112176000,14.78,59,10,东方材料,9.98
33,34,无线耳机,BK0893,1910.74,81.04,4.43,2364838016000,5.92,82,2,雷柏科技,9.99
34,35,小米汽车,BK1155,1277.73,54.05,4.42,3328808784000,3.16,67,3,祥鑫科技,10.01
35,36,Chiplet概念,BK1101,1486.86,62.33,4.38,662792032000,4.99,27,1,甬矽电子,9.3
36,37,飞行汽车(eVTOL),BK1157,1614.93,67.61,4.37,767523680000,4.26,67,2,祥鑫科技,10.01
37,38,华为昇腾,BK0995,1359.53,56.86,4.36,433644912000,7.15,27,0,拓维信息,10.02
38,39,中芯概念,BK0935,1240.05,51.72,4.35,2420389248000,3.13,61,1,浙江东方,10.0
39,40,机器视觉,BK0998,1547.03,64.48,4.35,522138128000,7.03,64,5,云天励飞-U,20.0
40,41,华为汽车,BK0984,1832.34,76.27,4.34,1665730576000,3.57,100,2,天奇股份,9.99
41,42,汽车一体化压铸,BK1093,1102.87,45.58,4.31,348036336000,4.15,28,1,祥鑫科技,10.01
42,43,北斗导航,BK0629,5232.22,216.09,4.31,898168848000,4.05,74,4,航锦科技,10.02
43,44,华为欧拉,BK1013,1607.41,65.71,4.26,309134432000,11.27,15,2,拓维信息,10.02
44,45,汽车热管理,BK1089,1536.44,61.7,4.18,804468656000,5.63,77,2,祥鑫科技,10.01
45,46,复合集流体,BK1113,753.22,30.24,4.18,178403045000,2.75,25,0,骄成超声,20.01
46,47,柔性屏(折叠屏),BK1160,1315.54,52.77,4.18,982670512000,3.0,71,3,崇达技术,9.98
47,48,UWB概念,BK0880,1492.82,59.8,4.17,400103904000,2.28,20,0,中海达,12.08
48,49,PEEK材料概念,BK1156,1157.53,46.21,4.16,254639864000,4.39,25,0,汉宇集团,12.55
49,50,无线充电,BK0960,2409.47,95.19,4.11,2051265632000,3.82,40,2,雷柏科技,9.99
50,51,3D玻璃,BK0881,1152.35,45.45,4.11,303175344000,3.25,18,0,联创电子,9.97
51,52,WiFi,BK0915,1139.47,44.91,4.1,532143504000,2.83,26,1,康希通信,10.3
52,53,特斯拉,BK0644,4860.25,189.62,4.06,4637940480000,3.41,199,9,天奇股份,9.99
53,54,小米概念,BK0833,1744.74,68.07,4.06,3094289024000,3.53,202,6,领益智造,10.02
54,55,空间站概念,BK0994,1465.61,57.11,4.05,189360644000,3.62,19,1,永新光学,10.0
55,56,天基互联,BK0921,1323.66,51.52,4.05,500211840000,4.05,39,1,航锦科技,10.02
56,57,拼多多概念,BK0957,1207.11,46.89,4.04,138904955000,6.25,25,0,每日互动,19.99
57,58,低空经济,BK1166,1315.54,51.05,4.04,3266149552000,3.78,233,5,日发精机,9.93
58,59,增强现实,BK0801,1070.15,41.45,4.03,617810144000,4.48,42,5,领益智造,10.02
59,60,华为海思,BK1180,1356.13,52.36,4.02,739674656000,5.67,38,1,美格智能,10.01
60,61,国产芯片,BK0891,3014.38,116.06,4.0,9816620288000,4.01,348,16,航锦科技,10.02
61,62,工业母机,BK1004,1406.93,54.04,3.99,1234687872000,4.47,78,4,日发精机,9.93
62,63,光通信模块,BK1136,1279.58,48.55,3.94,839629264000,4.35,59,1,航锦科技,10.02
63,64,F5G概念,BK1088,2172.23,82.36,3.94,532192080000,2.4,22,1,创维数字,10.03
64,65,智能机器,BK0640,4664.27,176.81,3.94,3480755232000,5.58,168,7,日发精机,9.93
65,66,新型工业化,BK1150,1117.05,42.05,3.91,1578229888000,4.8,88,3,汇洲智能,10.07
66,67,半导体概念,BK0917,1553.53,58.33,3.9,7656686336000,3.1,330,9,航锦科技,10.02
67,68,OLED,BK0840,2380.66,89.11,3.89,2060365392000,3.16,127,1,创维数字,10.03
68,69,刀片电池,BK0951,1998.53,74.69,3.88,1025183312000,2.8,13,0,安凯客车,10.05
69,70,无人机,BK0704,1906.57,71.24,3.88,2597729904000,3.58,164,4,山东矿机,10.13
70,71,eSIM,BK0956,1558.84,57.79,3.85,304205168000,2.35,9,1,美格智能,10.01
71,72,新能源车,BK0900,1731.63,64.09,3.84,11374103040000,3.36,583,24,金海高科,9.99
72,73,电子车牌,BK0982,1321.89,48.79,3.83,157785839000,5.97,17,0,万集科技,9.91
73,74,第三代半导体,BK0952,1302.84,47.99,3.82,1685499072000,5.73,107,2,欣锐科技,12.09
74,75,云游戏,BK0903,1167.47,42.99,3.82,315411664000,4.8,24,2,优刻得-W,20.0
75,76,VPN,BK0885,1146.45,42.1,3.81,315625888000,8.81,18,3,优刻得-W,20.0
76,77,PCB,BK0877,1647.43,60.31,3.8,1049990544000,4.47,87,2,崇达技术,9.98
77,78,宁组合,BK1000,496.98,18.19,3.8,4017110192000,1.42,24,0,科沃斯,9.99
78,79,电子烟,BK0865,1699.39,62.18,3.8,958314576000,3.52,47,4,通达创智,9.98
79,80,超清视频,BK0859,1791.2,65.49,3.79,2454108320000,3.84,95,4,创维数字,10.03
80,81,百度概念,BK0845,1643.74,59.64,3.76,2596111520000,6.92,136,9,每日互动,19.99
81,82,苹果概念,BK0666,2912.6,105.6,3.76,2741853952000,2.74,125,4,领益智造,10.02
82,83,CPO概念,BK1128,2493.42,90.09,3.75,1308672624000,4.23,46,0,德科立,13.35
83,84,电子竞技,BK0853,1286.88,46.43,3.74,3007652704000,2.62,33,3,雷柏科技,9.99
84,85,算力概念,BK1134,1401.57,50.41,3.73,6299181568000,4.36,125,14,航锦科技,10.02
85,86,IPv6,BK0897,1272.19,45.54,3.71,601773808000,3.68,12,0,网宿科技,6.97
86,87,5G概念,BK0714,1180.38,42.17,3.7,7984539648000,3.92,313,8,航锦科技,10.02
87,88,同步磁阻电机,BK1131,1389.11,49.55,3.7,62464760000,9.16,6,0,伟创电气,7.57
88,89,商业航天,BK0963,1425.75,50.77,3.69,1534741152000,3.79,150,3,大业股份,9.97
89,90,光刻机(胶),BK0884,2517.9,89.55,3.69,789933328000,3.82,83,1,永新光学,10.0
90,91,富士康,BK0842,1612.06,57.31,3.69,445636928000,3.59,34,0,奥士康,10.02
91,92,6G概念,BK0964,1293.23,45.95,3.68,524192000000,4.56,27,0,海格通信,7.25
92,93,国家安防,BK0667,2719.85,96.49,3.68,1646504192000,5.0,113,7,鸣志电器,10.01
93,94,轮毂电机,BK1099,874.39,31.01,3.68,53591443000,2.76,8,0,亚太股份,10.05
94,95,百元股,BK1059,630.78,22.35,3.67,12144665088000,2.06,68,8,瑞芯微,10.0
95,96,鸿蒙概念,BK0953,1442.66,50.84,3.65,2110924272000,6.73,105,4,每日互动,19.99
96,97,边缘计算,BK0860,1897.97,66.48,3.63,2786524800000,5.71,113,11,航锦科技,10.02
97,98,手游概念,BK0642,1175.62,41.17,3.63,784743856000,5.21,45,5,浙数文化,9.97
98,99,次新股,BK0501,25539.72,894.19,3.63,836718480000,12.88,88,4,万达轴承,15.19
99,100,MicroLED,BK0948,1000.83,34.94,3.62,474425184000,2.21,20,0,维信诺,9.99
100,101,高压快充,BK1144,1033.01,35.95,3.61,385652720000,4.63,42,0,汉宇集团,12.55
101,102,BC电池,BK1148,803.7,27.83,3.59,353902896000,1.75,22,0,海目星,7.41
102,103,固态电池,BK0968,1490.65,51.33,3.57,4630018816000,2.18,159,6,浙数文化,9.97
103,104,物联网,BK0554,13494.37,463.59,3.56,8168630784000,4.22,343,20,美格智能,10.01
104,105,华为概念,BK0854,3194.04,109.51,3.55,13039633152000,4.06,686,33,美格智能,10.01
105,106,EDA概念,BK0946,1068.26,36.6,3.55,227565379000,2.42,14,0,华大九天,6.3
106,107,氮化镓,BK0916,1239.06,42.33,3.54,940353760000,4.1,46,1,华灿光电,10.0
107,108,专精特新,BK1005,1069.6,36.51,3.53,4682431744000,4.14,737,33,优刻得-W,20.0
108,109,稀土永磁,BK0578,2146.76,73.25,3.53,946767488000,2.55,61,1,有研新材,10.01
109,110,注册制次新股,BK0971,671.59,22.88,3.53,796308960000,13.53,73,4,新铝时代,11.31
110,111,蓝宝石,BK0674,2411.86,81.96,3.52,531714544000,2.83,20,0,华灿光电,10.0
111,112,时空大数据,BK1130,1196.81,40.3,3.48,137215393000,9.37,23,0,中海达,12.08
112,113,虚拟现实,BK0722,1039.25,34.87,3.47,3439178976000,4.58,214,11,领益智造,10.02
113,114,网络游戏,BK0509,11447.55,383.83,3.47,958048160000,6.55,66,6,浙数文化,9.97
114,115,液冷概念,BK1138,1087.03,36.43,3.47,1100114512000,5.89,57,4,领益智造,10.02
115,116,玻璃基板,BK1175,1305.65,43.75,3.47,521549728000,2.46,32,2,凯盛科技,8.54
116,117,谷子经济,BK1183,1004.93,33.65,3.46,486109792000,6.65,58,1,天娱数科,9.99
117,118,ChatGPT概念,BK1126,1986.05,66.44,3.46,2105691232000,6.76,69,8,天娱数科,9.99
118,119,多模态AI,BK1153,1152.04,38.27,3.44,863504384000,9.47,45,4,云天励飞-U,20.0
119,120,纳米银,BK0855,1629.68,54.09,3.43,103017392000,5.44,10,0,欧菲光,6.13
120,121,数据安全,BK1047,939.31,31.14,3.43,950448352000,5.01,71,8,每日互动,19.99
121,122,快手概念,BK0972,1589.38,52.65,3.43,282759680000,14.39,32,0,每日互动,19.99
122,123,MiniLED,BK0902,1667.24,55.11,3.42,926787968000,2.45,60,0,创维数字,10.03
123,124,被动元件,BK0976,1250.02,41.2,3.41,388077696000,3.83,26,1,华金资本,10.01
124,125,国资云概念,BK1008,1343.56,44.27,3.41,340462032000,4.47,17,0,杭钢股份,9.97
125,126,ETC,BK0875,1591.5,52.31,3.4,367501984000,3.45,41,3,宇瞳光学,19.99
126,127,信创,BK1104,1675.38,54.97,3.39,3581264992000,7.67,221,18,青云科技-U,20.01
127,128,裸眼3D,BK1142,1024.4,33.57,3.39,307987952000,2.23,22,0,利亚德,6.99
128,129,燃料电池,BK0682,2988.19,97.73,3.38,2533589680000,2.35,135,10,航锦科技,10.02
129,130,铜缆高速连接,BK1168,1471.34,48.1,3.38,602511392000,7.45,30,4,裕太微-U,11.26
130,131,工业4.0,BK0810,2214.99,72.38,3.38,2683909008000,3.34,124,9,天奇股份,9.99
131,132,财税数字化,BK1176,1592.43,51.71,3.36,507237952000,7.81,39,2,金财互联,10.02
132,133,Web3.0,BK1110,1711.8,55.42,3.35,484352048000,10.39,44,3,天娱数科,9.99
133,134,东数西算,BK1064,1478.66,47.79,3.34,1056197552000,5.03,54,5,优刻得-W,20.0
134,135,数字水印,BK1129,1013.83,32.31,3.29,109431154000,9.93,16,1,北信源,11.3
135,136,工业互联,BK0832,2011.73,63.96,3.28,4267401616000,3.7,176,11,拓维信息,10.02
136,137,IGBT概念,BK1048,770.62,24.45,3.28,1980298448000,4.24,38,0,比亚迪,10.0
137,138,数据要素,BK1135,1073.22,33.82,3.25,1747680272000,5.53,121,7,航锦科技,10.02
138,139,创业成份,BK0638,1690.11,53.23,3.25,5946027008000,3.53,91,8,光线传媒,18.01
139,140,智慧城市,BK0628,4753.92,149.56,3.25,2501765888000,4.17,203,10,优刻得-W,20.0
140,141,元宇宙概念,BK1009,2007.21,63.11,3.25,4482410496000,6.72,130,11,天娱数科,9.99
141,142,全息技术,BK0699,2126.63,66.66,3.24,138776369000,2.66,10,1,高德红外,5.56
142,143,LED,BK0580,3095.63,96.2,3.21,1338372016000,2.88,89,5,鸣志电器,10.01
143,144,钠离子电池,BK0988,1191.79,36.89,3.19,1862401712000,1.83,49,2,欣旺达,8.99
144,145,短剧互动游戏,BK1151,1190.63,36.66,3.18,368416304000,8.18,26,1,天娱数科,9.99
145,146,人工智能,BK0800,1492.71,45.84,3.17,9408439552000,5.09,530,45,航锦科技,10.02
146,147,智能家居,BK0680,2502.14,76.44,3.15,3556825312000,3.82,142,14,科沃斯,9.99
147,148,数据确权,BK1118,1509.04,46.08,3.15,287653344000,8.02,32,1,浙数文化,9.97
148,149,量子通信,BK0710,2279.79,69.53,3.15,1322657968000,3.25,50,1,浙江东方,10.0
149,150,Sora概念,BK1159,1595.56,48.64,3.14,381723488000,11.27,38,2,天娱数科,9.99
150,151,云计算,BK0579,2847.76,86.47,3.13,7926503680000,5.0,212,19,青云科技-U,20.01
151,152,MLCC,BK0890,1725.89,52.36,3.13,178841870000,1.79,13,0,洁美科技,6.45
152,153,动力电池回收,BK1052,690.72,20.9,3.12,691605472000,1.7,37,1,天奇股份,9.99
153,154,移动支付,BK0556,11082.39,335.09,3.12,3395249552000,3.06,69,3,美格智能,10.01
154,155,抖音概念(字节概念),BK0923,1364.42,40.88,3.09,810174880000,10.93,75,3,每日互动,19.99
155,156,远程办公,BK0912,1449.95,43.37,3.08,785014224000,8.75,35,4,拓维信息,10.02
156,157,碳化硅,BK0977,1273.81,38.03,3.08,549888208000,3.0,34,2,蓝海华腾,8.11
157,158,数字经济,BK1061,1159.55,34.53,3.07,1673187184000,6.18,149,9,天娱数科,9.99
158,159,智谱AI,BK1182,1119.4,33.26,3.06,390635824000,11.56,29,5,优刻得-W,20.0
159,160,人脑工程,BK0706,4048.11,119.89,3.05,349458448000,7.53,19,1,成都华微,6.01
160,161,虚拟数字人,BK1055,1207.99,35.62,3.04,3408084304000,10.57,76,5,天娱数科,9.99
161,162,国产软件,BK0696,3115.87,91.73,3.03,3151574512000,6.58,213,19,新炬网络,10.0
162,163,培育钻石,BK1023,1060.2,31.13,3.03,132848695000,2.35,12,2,惠丰钻石,10.16
163,164,网络安全,BK0655,4132.7,121.24,3.02,4857111808000,6.49,128,7,安恒信息,19.99
164,165,军民融合,BK0808,1449.18,42.42,3.02,2925593648000,2.86,174,7,航锦科技,10.02
165,166,尾气治理,BK0932,1289.48,37.7,3.01,223725798000,2.63,34,0,有研新材,10.01
166,167,3D打印,BK0619,5020.96,146.39,3.0,585396928000,4.21,60,5,冀凯股份,10.01
167,168,电子身份证,BK1075,1188.62,34.6,3.0,329681840000,7.38,34,0,精伦电子,10.1
168,169,军工,BK0490,57036.38,1652.85,2.98,5843519744000,3.09,474,23,航锦科技,10.02
169,170,植物照明,BK1007,961.87,27.57,2.95,158545751000,3.59,18,0,朗科智能,5.63
170,171,深圳特区,BK0549,30070.73,860.88,2.95,9228148224000,2.23,311,28,美格智能,10.01
171,172,汽车拆解,BK0943,984.44,28.15,2.94,258032332000,1.18,17,1,杭钢股份,9.97
172,173,2025规划,BK0713,908.52,25.9,2.93,3846161360000,2.05,70,9,创维数字,10.03
173,174,大数据,BK0634,4575.0,130.18,2.93,4974062592000,4.78,282,23,每日互动,19.99
174,175,数字货币,BK0883,1692.93,48.15,2.93,812905840000,4.4,74,3,梦网科技,9.97
175,176,可控核聚变,BK1163,1162.59,32.99,2.92,383804256000,2.57,22,0,炬光科技,6.82
176,177,广电,BK0904,1431.05,40.5,2.91,243156514000,3.12,26,2,亿通科技,19.98
177,178,共享经济,BK0807,771.33,21.82,2.91,228725177000,2.07,18,1,移为通信,10.84
178,179,通用航空,BK0625,5357.67,151.5,2.91,1072400160000,1.74,40,1,日发精机,9.93
179,180,空间计算,BK1143,1154.24,32.6,2.91,133988387000,5.66,22,1,每日互动,19.99
180,181,ERP概念,BK1133,1219.43,34.34,2.9,247901964000,9.18,14,3,光云科技,14.61
181,182,首发经济,BK1186,904.35,25.33,2.88,293460848000,7.14,38,0,天娱数科,9.99
182,183,高送转,BK0723,3474.44,97.17,2.88,3378860352000,3.68,194,19,宇瞳光学,19.99
183,184,AI制药,BK1170,939.74,25.97,2.84,137381499000,2.32,16,0,泓博医药,8.41
184,185,股权激励,BK0567,2746.25,75.63,2.83,4462012416000,3.0,188,14,美格智能,10.01
185,186,AIGC概念,BK1111,1899.42,52.3,2.83,1976874400000,9.03,100,11,天娱数科,9.99
186,187,数字孪生,BK0861,1346.43,37.0,2.83,957636912000,3.0,75,4,中海达,12.08
187,188,数据中心,BK0922,1562.03,42.88,2.82,6033000448000,4.55,181,17,航锦科技,10.02
188,189,生物识别,BK0970,1456.89,39.94,2.82,1075719488000,3.86,44,4,高新兴,8.52
189,190,科创板做市股,BK1108,904.52,24.66,2.8,1896140816000,1.3,37,7,中控技术,10.51
190,191,区块链,BK0830,1004.05,27.35,2.8,8086239488000,2.39,214,15,浙数文化,9.97
191,192,锂电池,BK0574,2757.93,74.78,2.79,7411106048000,2.3,357,23,天奇股份,9.99
192,193,创业板综,BK0742,1379.81,37.31,2.78,12843556864000,4.86,1272,82,每日互动,19.99
193,194,航母概念,BK0715,811.26,21.88,2.77,1144630768000,0.96,33,2,普利特,7.49
194,195,充电桩,BK0700,2201.62,58.46,2.73,3976289760000,2.84,217,9,祥鑫科技,10.01
195,196,钙钛矿电池,BK1094,714.32,18.96,2.73,587776960000,1.52,31,0,曼恩斯特,8.7
196,197,小红书概念,BK1187,1087.43,28.57,2.7,462401648000,11.96,53,5,每日互动,19.99
197,198,昨日触板,BK0817,194.92,5.08,2.68,579182912000,8.66,30,7,信质集团,10.0
198,199,电子纸概念,BK1057,1082.47,28.04,2.66,369836480000,1.62,14,0,深天马Ａ,5.56
199,200,抖音小店,BK0928,1097.98,28.42,2.66,235695089000,2.66,24,3,斯莱克,19.98
200,201,环氧丙烷,BK1011,517.42,13.23,2.62,305365360000,1.03,13,2,航锦科技,10.02
201,202,Kimi概念,BK1169,1145.48,29.27,2.62,542388480000,13.27,20,5,天娱数科,9.99
202,203,发电机概念,BK1014,1204.09,30.7,2.62,126712570000,4.17,20,1,通达动力,10.0
203,204,大飞机,BK0814,1275.99,32.49,2.61,1685810112000,2.08,93,7,日发精机,9.93
204,205,融资融券,BK0596,2270.46,57.8,2.61,90219114496000,1.48,3275,324,航锦科技,10.02
205,206,超导概念,BK0679,3711.77,94.27,2.61,227178592000,4.56,15,0,辰光医疗,5.0
206,207,储能,BK0989,1630.05,41.33,2.6,7626510336000,2.0,301,20,祥鑫科技,10.01
207,208,独角兽,BK0835,1652.08,41.46,2.57,5010870272000,3.62,116,6,华金资本,10.01
208,209,阿里概念,BK0689,2257.39,56.55,2.57,2926393200000,2.87,101,10,杭钢股份,9.97
209,210,商汤概念,BK0942,1173.3,29.35,2.57,516926176000,3.77,13,0,瑞芯微,10.0
210,211,石墨烯,BK0617,1841.46,45.77,2.55,807993376000,2.09,66,3,东方材料,9.98
211,212,换电概念,BK0985,1271.84,31.6,2.55,817240000000,2.25,44,3,爱仕达,10.02
212,213,深股通,BK0804,968.75,23.92,2.53,29115230208000,2.74,1214,134,航锦科技,10.02
213,214,盲盒经济,BK0954,1193.61,29.45,2.53,117445560000,7.26,10,1,顺网科技,7.22
214,215,基金重仓,BK0536,9762.51,239.51,2.52,6994497792000,1.9,60,15,德科立,13.35
215,216,磁悬浮概念,BK0975,1602.29,39.22,2.51,714851472000,1.6,28,1,正海磁材,10.14
216,217,纾困概念,BK0851,1520.59,36.99,2.49,410587344000,3.49,47,2,梦网科技,9.97
217,218,TOPCon电池,BK1097,693.48,16.84,2.49,576648832000,1.74,39,1,海目星,7.41
218,219,影视概念,BK0847,844.29,20.41,2.48,572509616000,3.59,54,6,金逸影视,10.07
219,220,智慧灯杆,BK1069,1338.51,32.02,2.45,125413769000,4.3,22,2,格利尔,6.56
220,221,CRO,BK0899,1230.15,29.26,2.44,491966432000,2.31,39,0,毕得医药,12.4
221,222,核污染防治,BK0983,1163.48,27.67,2.44,372443616000,1.06,30,0,普利特,7.49
222,223,新材料,BK0523,23752.08,562.45,2.43,3990089216000,2.46,321,20,领益智造,10.02
223,224,智慧政务,BK0886,1262.99,29.78,2.41,618852960000,8.75,68,8,拓维信息,10.02
224,225,太阳能,BK0588,2912.64,68.39,2.4,7402721024000,1.64,376,20,大业股份,9.97
225,226,AI语料,BK1172,1005.66,23.6,2.4,355422144000,13.43,22,3,天娱数科,9.99
226,227,CAR-T细胞疗法,BK0986,872.74,20.44,2.4,411822592000,2.12,21,1,海南海药,8.33
227,228,小金属概念,BK0695,2280.15,53.0,2.38,2719598944000,1.56,102,7,天奇股份,9.99
228,229,茅指数,BK0999,682.34,15.78,2.37,12559806208000,1.08,36,5,科沃斯,9.99
229,230,彩票概念,BK0671,2224.45,51.4,2.37,370528064000,2.61,22,0,同花顺,6.51
